Date,Price,Open,High,Low,Vol.,Change %
3/20/2018,305.04,304.36,305.48,303.84,27.99M,0.49
3/19/2018,303.56,304.66,304.86,302.26,27.81M,-0.41
3/16/2018,304.81,304.97,306.58,304.64,88.52M,0.11
3/15/2018,304.49,303.98,305.39,303.36,37.37M,0.37
3/14/2018,303.36,304.22,304.62,302.65,22.69M,0.09
3/13/2018,303.09,304.01,304.62,302.85,23.42M,0.02
3/12/2018,303.03,303.37,304.27,302.13,28.57M,-0.07
3/9/2018,303.23,303.27,303.7,301.48,20.17M,0.3
3/8/2018,302.31,301.24,302.48,300.91,24.74M,0.67
3/7/2018,300.31,299.17,302.31,299.16,22.91M,-0.12
3/6/2018,300.67,300.67,301.23,299.55,25.35M,0.17
3/5/2018,300.15,296.55,300.73,296.26,25.11M,0.75
3/2/2018,297.92,296.51,298.13,295.94,25.48M,-0.24
3/1/2018,298.63,299.99,300.38,297.14,35.15M,-0.18
2/28/2018,299.18,303.98,304.12,299.18,37.75M,-1.3
2/27/2018,303.12,302.74,303.99,302.23,31.10M,0.19
2/26/2018,302.54,302.84,303.3,302.06,24.10M,0.31
2/23/2018,301.62,301.03,301.7,299.61,20.60M,0.63
2/22/2018,299.73,302.33,302.33,299.29,33.75M,-0.32
2/21/2018,300.7,297.75,301.74,297.75,33.18M,1.32
2/20/2018,296.78,296.78,298.09,295.24,23.83M,-0.1
2/16/2018,297.09,297.4,298.09,296.6,21.85M,0.06
2/15/2018,296.92,298.28,298.61,295.2,24.91M,0.42
2/14/2018,295.67,293.19,297.25,292.49,34.08M,0.64
2/13/2018,293.78,293.49,294.78,292.24,35.65M,-0.12
2/12/2018,294.14,294.32,295.41,292.27,35.62M,0.61
2/9/2018,292.37,292.98,293.18,288.52,36.55M,-0.04
2/8/2018,292.5,296.84,296.84,292.5,42.34M,-1.56
2/7/2018,297.13,297.58,298.6,296.53,35.62M,0
2/6/2018,297.13,291.04,297.97,288.02,60.50M,0.14
2/5/2018,296.71,301.06,302.29,295.31,37.66M,-2.39
2/2/2018,303.99,306.72,307.78,303.79,25.98M,-1.24
2/1/2018,307.82,308.72,308.72,306.41,29.82M,-0.54
1/31/2018,309.5,309.6,310.22,308.39,27.71M,-0.26
1/30/2018,310.32,309.28,310.69,309.28,29.55M,0.1
1/29/2018,310.02,310.65,310.83,309.5,20.58M,-0.37
1/26/2018,311.17,311.58,311.75,310.3,18.24M,-0.13
1/25/2018,311.58,312.27,312.3,310.71,24.03M,-0.13
1/24/2018,311.99,313.44,313.53,310.84,27.48M,-0.62
1/23/2018,313.93,314.61,315.23,312.88,27.62M,-0.25
1/22/2018,314.72,314.51,316,313.98,29.91M,0.11
1/19/2018,314.37,313.17,315,312.99,26.84M,0.59
1/18/2018,312.53,312.77,313.2,312.36,25.95M,0.11
1/17/2018,312.18,311.75,312.74,311.09,28.46M,0.35
1/16/2018,311.08,311.71,312.28,310.67,30.22M,-0.07
1/15/2018,311.31,311.11,311.81,310.67,11.00M,0.21
1/12/2018,310.66,310.73,311.39,310.19,23.65M,-0.08
1/11/2018,310.92,311.64,311.8,310.49,19.52M,-0.03
1/10/2018,311.01,310.51,312.5,310.43,25.81M,0
1/9/2018,311.02,311.1,311.55,310.51,22.13M,0.07
1/8/2018,310.8,311.69,312.03,310.78,20.63M,-0.31
1/5/2018,311.76,311.58,312.02,310.48,22.72M,0.08
1/4/2018,311.51,310,311.93,309.56,30.62M,0.72
1/3/2018,309.29,308.37,309.96,308.37,22.24M,0.39
1/2/2018,308.1,308.36,309,306.95,19.93M,-0.13
12/29/2017,308.49,308.19,308.52,307.23,17.85M,-0.01
12/28/2017,308.53,307.8,308.53,306.46,16.53M,0.16
12/27/2017,308.05,308.47,308.95,307.71,17.25M,-0.25
12/22/2017,308.82,309.4,309.82,308.66,13.70M,-0.28
12/21/2017,309.68,308.85,310.52,308.85,22.86M,0.23
12/20/2017,308.96,310.28,310.28,308.46,17.76M,-0.16
12/19/2017,309.46,310.3,310.93,309.46,24.18M,0.06
12/18/2017,309.27,309.4,310.73,309.05,20.29M,0.41
12/15/2017,308.01,307.49,309.18,307.49,69.19M,0.2
12/14/2017,307.39,309.46,310.14,307.07,25.07M,-0.64
12/13/2017,309.36,310.41,311.2,309.18,29.87M,-0.16
12/12/2017,309.85,309.79,310.41,309.57,25.22M,0.16
12/11/2017,309.36,310.17,310.18,309.09,15.30M,-0.25
12/8/2017,310.14,308.96,310.54,308.74,17.54M,0.51
12/7/2017,308.58,307.14,308.7,306.7,22.63M,0.63
12/6/2017,306.65,305.18,308.3,304.7,24.55M,0.23
12/5/2017,305.96,307.69,308.4,305.41,23.92M,-0.54
12/4/2017,307.61,309.24,309.8,307.52,24.94M,-0.11
12/1/2017,307.94,307.46,308.77,306.05,26.60M,0.2
11/30/2017,307.34,307.92,309.66,306.57,42.78M,-0.26
11/29/2017,308.13,307.96,308.33,307.08,21.03M,0.36
11/28/2017,307.01,307.36,307.48,306.05,20.54M,-0.24
11/27/2017,307.76,308.19,308.95,307.65,15.02M,-0.03
11/24/2017,307.85,308.1,308.53,307.67,9.76M,0.13
11/23/2017,307.44,308.45,308.72,307.2,6.02M,-0.24
11/22/2017,308.17,308.05,309.31,307.4,17.28M,0.03
11/21/2017,308.07,308.79,309.16,308.07,19.86M,0.06
11/20/2017,307.87,306.96,308.66,306.9,21.73M,0.19
11/17/2017,307.28,306.2,307.59,305.91,17.18M,0.39
11/16/2017,306.09,304.96,306.39,304.88,18.78M,0.67
11/15/2017,304.06,302.87,304.57,302.44,20.33M,0.05
11/14/2017,303.92,303.19,304.38,303.02,15.49M,-0.18
11/13/2017,304.47,303.11,304.76,303.11,13.90M,0.1
11/10/2017,304.17,306.03,306.47,303.25,18.57M,-0.72
11/9/2017,306.37,305.72,306.64,305.2,22.99M,-0.09
11/8/2017,306.64,306.79,306.87,305.61,19.50M,-0.21
11/7/2017,307.3,306.87,307.7,306.42,15.84M,0.08
11/6/2017,307.05,307.26,307.69,306.75,14.27M,0.01
11/3/2017,307.03,306.8,307.17,306.09,14.92M,-0.03
11/2/2017,307.12,305.96,307.26,305.82,18.89M,0.37
11/1/2017,305.98,307.22,307.22,305.82,25.18M,-0.15
10/31/2017,306.45,306.17,307.53,305.78,24.16M,0.19
10/30/2017,305.87,305.52,307.15,305.44,23.32M,0
10/27/2017,305.86,305.65,306.3,304.65,23.17M,0.17
10/26/2017,305.35,304.68,305.87,304.52,21.73M,0.47
10/25/2017,303.93,304.79,305.21,303.15,23.48M,-0.39
10/24/2017,305.11,304.09,305.16,304.09,20.19M,0.55
10/23/2017,303.43,303.92,304.46,303.33,15.56M,0.04
10/20/2017,303.32,303.87,304.37,303.24,19.81M,0.24
10/19/2017,302.58,300.33,302.67,300.33,18.35M,0.48
10/18/2017,301.13,301.39,301.83,301.13,16.34M,0.07
10/17/2017,300.92,300.71,301.87,300.71,21.24M,0.22
10/16/2017,300.26,300.19,300.86,300.19,16.78M,0.1
10/13/2017,299.95,298.77,300.16,298.72,16.82M,0.45
10/12/2017,298.61,299.72,300.08,298.61,18.56M,-0.38
10/11/2017,299.75,299.42,300.35,299.34,19.34M,0.15
10/10/2017,299.31,297.71,299.7,297.71,22.93M,0.56
10/6/2017,297.64,298.15,298.27,296.44,19.94M,-0.21
10/5/2017,298.27,297.6,298.35,297.45,22.19M,0.2
10/4/2017,297.66,297.57,298.36,297.12,25.59M,0.04
10/3/2017,297.54,296.41,297.54,296.39,29.04M,0.44
10/2/2017,296.23,295.18,296.75,294.83,22.40M,0.56
9/29/2017,294.57,294.05,295.75,293.9,24.44M,0.43
9/28/2017,293.3,292.72,293.81,292.56,22.26M,0.09
9/27/2017,293.04,290.56,293.11,290.45,30.53M,1.14
9/26/2017,289.75,290.38,290.38,289.33,20.84M,-0.19
9/25/2017,290.3,289.55,290.37,289.21,19.53M,0.21
9/22/2017,289.68,289.05,289.95,288.57,21.12M,0.28
9/21/2017,288.87,287.36,289.62,287.35,25.55M,0.67
9/20/2017,286.94,285.28,286.95,285.22,20.23M,0.72
9/19/2017,284.89,284.13,285.8,283.83,22.23M,0.45
9/18/2017,283.61,283.15,283.95,282.85,19.54M,0.26
9/15/2017,282.87,282.62,283.12,282.05,98.80M,0.04
9/14/2017,282.75,282.75,282.98,282.29,20.99M,0.09
9/13/2017,282.49,282.15,283.18,282.13,19.75M,0.22
9/12/2017,281.86,280.72,282.34,280.14,22.42M,0.66
9/11/2017,280,279.79,280.39,279.47,23.62M,0.72
9/8/2017,278.01,277.59,278.63,277.29,19.32M,0.06
9/7/2017,277.83,279.67,279.69,277.47,19.57M,-0.64
9/6/2017,279.61,280.73,281.79,279.46,25.67M,-0.2
9/5/2017,280.16,282.69,282.69,279.44,25.91M,-1.2
9/1/2017,283.55,283.87,284.37,283.33,21.03M,-0.12
8/31/2017,283.88,283.73,285.15,283.1,37.15M,0.54
8/30/2017,282.36,282.01,283.43,281.51,21.97M,0.27
8/29/2017,281.61,280.05,281.74,278.76,19.86M,-0.21
8/28/2017,282.21,283.33,283.33,281.46,13.28M,-0.38
8/25/2017,283.3,283.43,284.06,283.16,13.61M,0.08
8/24/2017,283.06,283.89,283.89,282.33,17.64M,0.26
8/23/2017,282.34,280.11,283.92,280.11,21.63M,0.49
8/22/2017,280.97,281.27,281.33,280.39,16.15M,0.01
8/21/2017,280.95,280.2,281.34,279.83,18.05M,0.17
8/18/2017,280.47,280.93,280.93,279.01,23.79M,-0.46
8/17/2017,281.77,282.49,283.55,281.76,19.73M,-0.39
8/16/2017,282.88,284.01,284.59,282.72,23.92M,-0.11
8/15/2017,283.19,284.34,284.39,283.04,18.07M,-0.01
