Date,Price,Open,High,Low,Vol.,Change %
3/20/2018,"2,716.94","2,715.05","2,724.22","2,710.05",0,0.15
3/19/2018,"2,712.92","2,741.38","2,741.38","2,694.59",0,-1.42
3/16/2018,"2,752.01","2,750.57","2,761.85","2,749.97",0,0.17
3/15/2018,"2,747.33","2,754.27","2,763.03","2,741.47",0,-0.08
3/14/2018,"2,749.48","2,774.06","2,777.11","2,744.38",0,-0.57
3/13/2018,"2,765.31","2,792.31","2,801.90","2,758.68",0,-0.64
3/12/2018,"2,783.02","2,790.54","2,796.98","2,779.26",0,-0.13
3/9/2018,"2,786.57","2,752.91","2,786.57","2,751.54",0,1.74
3/8/2018,"2,738.97","2,732.75","2,740.45","2,722.65",0,0.45
3/7/2018,"2,726.80","2,710.18","2,730.60","2,701.74",0,-0.05
3/6/2018,"2,728.12","2,730.18","2,732.08","2,711.26",0,0.26
3/5/2018,"2,720.94","2,681.06","2,728.09","2,675.75",0,1.1
3/2/2018,"2,691.25","2,658.89","2,696.25","2,647.32",0,0.51
3/1/2018,"2,677.67","2,715.22","2,730.89","2,659.65",0,-1.33
2/28/2018,"2,713.83","2,753.78","2,761.52","2,713.54",0,-1.11
2/27/2018,"2,744.28","2,780.45","2,789.15","2,744.22",0,-1.27
2/26/2018,"2,779.60","2,757.37","2,780.64","2,753.78",0,1.18
2/23/2018,"2,747.30","2,715.80","2,747.76","2,713.74",0,1.6
2/22/2018,"2,703.96","2,710.42","2,731.26","2,697.77",0,0.1
2/21/2018,"2,701.33","2,720.53","2,747.75","2,701.29",0,-0.55
2/20/2018,"2,716.26","2,722.99","2,737.60","2,706.76",0,-0.58
2/16/2018,"2,732.22","2,727.14","2,754.42","2,725.11",0,0.04
2/15/2018,"2,731.20","2,713.46","2,731.51","2,689.82",0,1.21
2/14/2018,"2,698.63","2,651.21","2,702.10","2,648.87",0,1.34
2/13/2018,"2,662.94","2,646.27","2,668.84","2,637.08",0,0.26
2/12/2018,"2,656.00","2,636.75","2,672.61","2,622.45",0,1.39
2/9/2018,"2,619.55","2,601.78","2,638.67","2,532.69",0,1.49
2/8/2018,"2,581.00","2,685.01","2,685.27","2,580.56",0,-3.75
2/7/2018,"2,681.66","2,690.95","2,727.67","2,681.33",0,-0.5
2/6/2018,"2,695.14","2,614.78","2,701.04","2,593.07",0,1.74
2/5/2018,"2,648.94","2,741.06","2,763.39","2,638.17",0,-4.1
2/2/2018,"2,762.13","2,808.92","2,808.92","2,759.97",0,-2.12
2/1/2018,"2,821.98","2,816.45","2,835.96","2,812.70",0,-0.06
1/31/2018,"2,823.81","2,832.41","2,839.26","2,813.04",0,0.05
1/30/2018,"2,822.43","2,832.74","2,837.75","2,818.27",0,-1.09
1/29/2018,"2,853.53","2,867.23","2,870.62","2,851.48",0,-0.67
1/26/2018,"2,872.87","2,847.48","2,872.87","2,846.18",0,1.18
1/25/2018,"2,839.25","2,846.24","2,848.56","2,830.94",0,0.06
1/24/2018,"2,837.54","2,845.42","2,852.97","2,824.81",0,-0.06
1/23/2018,"2,839.13","2,835.05","2,842.24","2,830.59",0,0.22
1/22/2018,"2,832.97","2,809.16","2,833.03","2,808.12",0,0.81
1/19/2018,"2,810.30","2,802.60","2,810.33","2,798.08",0,0.44
1/18/2018,"2,798.03","2,802.40","2,805.83","2,792.56",0,-0.16
1/17/2018,"2,802.56","2,784.99","2,807.04","2,778.38",0,0.94
1/16/2018,"2,776.42","2,798.96","2,807.54","2,768.64",0,-0.35
1/12/2018,"2,786.24","2,770.18","2,787.85","2,769.64",0,0.67
1/11/2018,"2,767.56","2,752.97","2,767.56","2,752.78",0,0.7
1/10/2018,"2,748.23","2,745.55","2,750.80","2,736.06",0,-0.11
1/9/2018,"2,751.29","2,751.15","2,759.14","2,747.86",0,0.13
1/8/2018,"2,747.71","2,742.67","2,748.51","2,737.60",0,0.17
1/5/2018,"2,743.15","2,731.33","2,743.45","2,727.92",0,0.7
1/4/2018,"2,723.99","2,719.31","2,729.29","2,719.07",0,0.4
