Date,Price,Open,High,Low,Vol.,Change %
3/20/2018,29.66,29.61,29.68,29.58,673.31K,0.41
3/19/2018,29.54,29.65,29.66,29.42,1.09M,-0.4
3/16/2018,29.66,29.66,29.8,29.63,265.27K,0.1
3/15/2018,29.63,29.61,29.69,29.55,549.28K,0.24
3/14/2018,29.56,29.57,29.65,29.49,172.65K,0.2
3/13/2018,29.5,29.55,29.64,29.48,755.82K,0.1
3/12/2018,29.47,29.51,29.58,29.38,1.09M,0
3/9/2018,29.47,29.5,29.51,29.29,766.09K,0.44
3/8/2018,29.34,29.28,29.37,29.2,738.51K,0.55
3/7/2018,29.18,29.08,29.38,29.04,1.07M,-0.07
3/6/2018,29.2,29.26,29.26,29.12,1.46M,0.17
3/5/2018,29.15,28.91,29.22,28.83,1.84M,0.48
3/2/2018,29.01,28.93,29.06,28.87,452.49K,-0.41
3/1/2018,29.13,29.23,29.26,28.99,915.89K,-0.17
2/28/2018,29.18,29.59,29.65,29.18,1.12M,-1.25
2/27/2018,29.55,29.5,29.61,29.42,1.45M,0.24
2/26/2018,29.48,29.56,29.56,29.42,592.62K,0.07
2/23/2018,29.46,29.31,29.47,29.23,664.41K,0.92
2/22/2018,29.19,29.5,29.5,29.12,929.25K,-0.1
2/21/2018,29.22,28.87,29.3,28.87,1.01M,1.56
2/20/2018,28.77,28.81,28.95,28.63,565.41K,-0.17
2/16/2018,28.82,28.95,28.95,28.79,268.17K,-0.41
2/15/2018,28.94,29.12,29.12,28.73,460.25K,0.35
2/14/2018,28.84,28.52,28.96,28.43,748.48K,1.09
2/13/2018,28.53,28.51,28.6,28.4,367.84K,-0.04
2/12/2018,28.54,28.58,28.65,28.34,770.62K,0.78
2/9/2018,28.32,28.47,28.47,27.96,1.25M,-0.21
2/8/2018,28.38,28.92,28.92,28.37,1.42M,-1.94
2/7/2018,28.94,29,29.04,28.85,570.66K,0.1
2/6/2018,28.91,28.21,28.99,28.03,953.57K,0.28
2/5/2018,28.83,29.23,29.35,28.69,1.84M,-2.6
2/2/2018,29.6,29.81,29.95,29.59,948.93K,-1.14
2/1/2018,29.94,30.04,30.04,29.83,792.54K,-0.5
1/31/2018,30.09,30.08,30.14,29.96,350.17K,-0.07
1/30/2018,30.11,29.98,30.15,29.97,379.21K,0.1
1/29/2018,30.08,30.16,30.16,30.03,295.41K,-0.53
1/26/2018,30.24,30.29,30.29,30.12,377.20K,-0.3
1/25/2018,30.33,30.36,30.36,30.19,540.70K,0.03
1/24/2018,30.32,30.45,30.45,30.2,635.21K,-0.36
1/23/2018,30.43,30.54,30.59,30.36,909.43K,-0.23
1/22/2018,30.5,30.46,30.65,30.46,365.55K,0.2
1/19/2018,30.44,30.33,30.52,30.33,490.80K,0.56
1/18/2018,30.27,30.27,30.32,30.25,392.83K,0.23
1/17/2018,30.2,30.15,30.27,30.1,548.54K,0.37
1/16/2018,30.09,30.17,30.19,30.03,835.34K,0
1/15/2018,30.09,30.15,30.17,30.09,54.22K,-0.03
1/12/2018,30.1,30.12,30.18,30.05,700.24K,-0.13
1/11/2018,30.14,30.21,30.26,30.09,716.86K,-0.13
1/10/2018,30.18,30.16,30.34,30.13,549.28K,-0.03
1/9/2018,30.19,30.15,30.21,30.1,226.76K,0.3
1/8/2018,30.1,30.18,30.21,30.1,260.41K,-0.23
1/5/2018,30.17,30.12,30.19,30.01,354.62K,0.3
1/4/2018,30.08,29.92,30.13,29.86,802.50K,0.77
1/3/2018,29.85,29.72,29.9,29.72,306.24K,0.47
1/2/2018,29.71,29.68,29.83,29.63,273.76K,0
12/29/2017,29.71,29.67,29.71,29.59,158.60K,0.24
12/28/2017,29.64,29.58,29.64,29.49,161.00K,0.2
12/27/2017,29.58,29.59,29.67,29.55,173.01K,-0.4
12/22/2017,29.7,29.8,29.8,29.7,139.69K,-0.4
12/21/2017,29.82,29.69,29.86,29.68,308.49K,0.51
12/20/2017,29.67,29.83,29.83,29.6,274.43K,-0.1
12/19/2017,29.7,29.75,29.84,29.7,189.96K,0.1
12/18/2017,29.67,29.62,29.8,29.62,608.51K,1.54
12/15/2017,29.22,29.27,29.32,29.14,518.36K,0
12/14/2017,29.22,29.34,29.44,29.18,441.29K,-0.48
12/13/2017,29.36,29.45,29.48,29.33,589.48K,-0.2
12/12/2017,29.42,29.43,29.45,29.39,313.42K,-0.84
12/11/2017,29.67,29.74,29.75,29.65,310.42K,-0.27
12/8/2017,29.75,29.65,29.8,29.64,115.25K,0.44
12/7/2017,29.62,29.52,29.65,29.43,738.49K,0.51
12/6/2017,29.47,29.26,29.59,29.21,576.67K,0.44
12/5/2017,29.34,29.48,29.6,29.27,846.40K,-0.68
12/4/2017,29.54,29.69,29.76,29.52,222.58K,-0.1
12/1/2017,29.57,29.42,29.61,29.38,527.03K,0.48
11/30/2017,29.43,29.42,29.61,29.31,601.15K,0
11/29/2017,29.43,29.41,29.45,29.32,284.83K,0.34
11/28/2017,29.33,29.33,29.37,29.24,603.93K,-0.58
11/27/2017,29.5,29.56,29.62,29.48,119.43K,0
11/24/2017,29.5,29.55,29.58,29.45,227.91K,0
11/23/2017,29.5,29.6,29.61,29.47,81.36K,-0.24
11/22/2017,29.57,29.57,29.65,29.5,476.58K,0
11/21/2017,29.57,29.68,29.68,29.57,324.22K,-0.07
11/20/2017,29.59,29.49,29.68,29.49,327.37K,0.24
11/17/2017,29.52,29.41,29.59,29.39,645.39K,0.44
11/16/2017,29.39,29.23,29.41,29.23,338.42K,0.75
11/15/2017,29.17,29,29.19,28.99,326.14K,0.14
11/14/2017,29.13,29.04,29.17,29.04,312.73K,-0.1
11/13/2017,29.16,29.01,29.19,28.99,301.10K,0.14
11/10/2017,29.12,29.26,29.31,29.03,350.08K,-0.55
11/9/2017,29.28,29.33,29.34,29.23,483.86K,-0.51
11/8/2017,29.43,29.49,29.49,29.37,269.94K,-0.2
11/7/2017,29.49,29.47,29.52,29.42,248.73K,0.1
11/6/2017,29.46,29.46,29.49,29.41,135.71K,0.1
11/3/2017,29.43,29.37,29.43,29.32,142.76K,0.1
11/2/2017,29.4,29.29,29.41,29.25,307.39K,0.41
11/1/2017,29.28,29.38,29.4,29.27,180.62K,-0.03
10/31/2017,29.29,29.24,29.4,29.24,117.21K,0.14
10/30/2017,29.25,29.23,29.32,29.19,141.74K,0.03
10/27/2017,29.24,29.23,29.29,29.15,182.73K,-0.17
10/26/2017,29.29,29.23,29.35,29.23,176.16K,0.45
10/25/2017,29.16,29.2,29.3,29.1,229.36K,-0.03
10/24/2017,29.17,29.05,29.19,29.05,162.36K,0.62
10/23/2017,28.99,29,29.05,28.97,66.41K,0.17
10/20/2017,28.94,29.04,29.1,28.93,145.65K,0.07
10/19/2017,28.92,28.72,28.94,28.72,278.50K,0.38
10/18/2017,28.81,28.74,28.87,28.74,172.59K,0.31
10/17/2017,28.72,28.71,28.78,28.7,408.34K,0.17
10/16/2017,28.67,28.72,28.77,28.67,103.30K,0.03
10/13/2017,28.66,28.58,28.73,28.58,134.14K,0.28
10/12/2017,28.58,28.71,28.71,28.57,306.28K,-0.38
10/11/2017,28.69,28.61,28.72,28.61,184.45K,0.38
10/10/2017,28.58,28.46,28.64,28.46,241.90K,0.42
10/6/2017,28.46,28.49,28.52,28.35,146.58K,-0.21
10/5/2017,28.52,28.43,28.53,28.43,78.07K,0.28
10/4/2017,28.44,28.45,28.47,28.37,309.80K,0.04
10/3/2017,28.43,28.29,28.44,28.27,516.17K,0.71
10/2/2017,28.23,28.12,28.29,28.11,676.07K,0.75
9/29/2017,28.02,28.01,28.16,28,262.85K,0.29
9/28/2017,27.94,27.83,27.99,27.83,305.72K,0.4
9/27/2017,27.83,27.67,27.87,27.65,778.49K,0.65
9/26/2017,27.65,27.69,27.72,27.63,581.54K,-0.07
9/25/2017,27.67,27.64,27.68,27.58,201.79K,0.22
9/22/2017,27.61,27.5,27.64,27.5,190.16K,0.29
9/21/2017,27.53,27.33,27.6,27.31,1.01M,0.95
9/20/2017,27.27,27.17,27.28,27.17,1.18M,0.52
9/19/2017,27.13,27.04,27.18,27.03,111.16K,0.41
9/18/2017,27.02,27.05,27.08,26.97,147.44K,0.11
9/15/2017,26.99,27.02,27.05,26.96,295.91K,-0.22
9/14/2017,27.05,27.02,27.07,27.01,210.11K,0.15
9/13/2017,27.01,26.95,27.06,26.95,205.23K,0.33
9/12/2017,26.92,26.8,26.96,26.76,474.44K,0.6
9/11/2017,26.76,26.68,26.77,26.64,541.43K,0.79
9/8/2017,26.55,26.48,26.55,26.47,297.54K,0.26
9/7/2017,26.48,26.63,26.63,26.46,255.51K,-0.41
9/6/2017,26.59,26.67,26.73,26.51,362.88K,0.04
9/5/2017,26.58,26.72,26.74,26.49,538.02K,-0.86
9/1/2017,26.81,26.91,26.91,26.81,375.71K,-0.07
8/31/2017,26.83,26.9,26.96,26.77,269.23K,0.45
8/30/2017,26.71,26.61,26.82,26.6,742.76K,0.79
8/29/2017,26.5,26.49,26.52,26.26,497.87K,-0.56
8/28/2017,26.65,26.79,26.79,26.59,286.34K,-0.67
8/25/2017,26.83,26.82,26.89,26.77,169.33K,0.11
8/24/2017,26.8,27.01,27.01,26.78,469.32K,-0.22
8/23/2017,26.86,26.62,27.01,26.62,629.41K,0.67
8/22/2017,26.68,26.74,26.75,26.66,300.47K,-0.11
8/21/2017,26.71,26.61,26.75,26.59,271.38K,0.3
8/18/2017,26.63,26.65,26.65,26.45,568.23K,-0.26
8/17/2017,26.7,26.74,26.86,26.66,635.35K,-0.26
8/16/2017,26.77,26.96,26.99,26.76,767.88K,-0.37
8/15/2017,26.87,27.01,27.01,26.86,263.74K,-0.07
8/14/2017,26.89,26.81,27.04,26.81,874.59K,1.01
8/11/2017,26.62,26.73,26.85,26.52,815.48K,-0.56
8/10/2017,26.77,27.01,27.03,26.72,1.13M,-1.22
8/9/2017,27.1,27.1,27.22,27.02,264.28K,-0.4
8/8/2017,27.21,27.12,27.26,27.11,340.68K,0.29
8/4/2017,27.13,27.17,27.22,27.07,590.04K,0.26
8/3/2017,27.06,27.16,27.2,27.04,331.44K,-0.44
8/2/2017,27.18,27.08,27.2,27.08,784.24K,0.44
8/1/2017,27.06,27.14,27.14,26.82,688.35K,0.15
7/31/2017,27.02,26.93,27.12,26.93,358.05K,0.26
7/28/2017,26.95,26.93,26.96,26.77,451.49K,-0.19
7/27/2017,27,27.1,27.1,26.8,815.30K,-0.11
7/26/2017,27.03,27.22,27.27,27,858.74K,-0.81
7/25/2017,27.25,27.3,27.45,27.21,778.75K,0.04
7/24/2017,27.24,27.22,27.28,27.13,402.32K,-0.07
7/21/2017,27.26,27.33,27.34,27.13,739.33K,-0.44
7/20/2017,27.38,27.41,27.44,27.35,590.57K,0.15
7/19/2017,27.34,27.23,27.39,27.23,590.09K,0.48
7/18/2017,27.21,27.19,27.25,27.08,290.19K,-0.11
7/17/2017,27.24,27.31,27.33,27.21,371.69K,-0.26
7/14/2017,27.31,27.23,27.34,27.2,237.64K,0.15
7/13/2017,27.27,27.31,27.31,27.25,195.23K,0.07
7/12/2017,27.25,27.23,27.39,27.19,633.29K,0.37
7/11/2017,27.15,27.12,27.15,27,552.65K,0.04
7/10/2017,27.14,27.11,27.22,26.99,423.29K,0.15
7/7/2017,27.1,27.12,27.13,26.94,459.11K,-0.07
7/6/2017,27.12,27.03,27.23,27.03,254.41K,-0.04
7/5/2017,27.13,27.03,27.19,26.85,557.55K,0.52
7/4/2017,26.99,27.09,27.09,26.88,137.86K,0.19
6/30/2017,26.94,27.06,27.09,26.78,710.55K,-0.33
6/29/2017,27.03,27.23,27.25,26.9,725.05K,-0.26
6/28/2017,27.1,26.9,27.12,26.9,470.50K,1.04
6/27/2017,26.82,26.85,26.9,26.73,270.94K,-0.22
6/26/2017,26.88,27.01,27.1,26.8,373.14K,-0.26
6/23/2017,26.95,26.94,27.08,26.87,432.96K,0.11
6/22/2017,26.92,26.66,27,26.66,952.30K,0.98
6/21/2017,26.66,26.84,26.86,26.62,521.21K,-0.49
6/20/2017,26.79,26.84,26.92,26.79,460.46K,-0.41
6/19/2017,26.9,26.81,27,26.8,565.24K,0.64
6/16/2017,26.73,26.59,26.74,26.48,657.29K,0.3
6/15/2017,26.65,26.42,26.66,26.34,786.37K,0.41
6/14/2017,26.54,26.67,26.68,26.45,536.93K,-0.67
6/13/2017,26.72,26.85,26.85,26.61,399.23K,-0.3
6/12/2017,26.8,26.96,27.15,26.7,611.53K,-0.67
6/9/2017,26.98,26.62,27.04,26.62,543.62K,1.39
6/8/2017,26.61,26.36,26.62,26.35,354.55K,0.91
6/7/2017,26.37,26.33,26.44,26.27,160.72K,0.27
6/6/2017,26.3,26.33,26.37,26.27,211.78K,-0.53
6/5/2017,26.44,26.47,26.55,26.3,309.97K,-0.23
6/2/2017,26.5,26.47,26.57,26.36,340.94K,0.04
6/1/2017,26.49,26.41,26.54,26.3,614.55K,0.57
5/31/2017,26.34,26.47,26.47,26.15,396.48K,-0.04
5/30/2017,26.35,26.4,26.46,26.29,334.86K,-0.23
5/29/2017,26.41,26.36,26.51,26.36,123.55K,0.34
5/26/2017,26.32,26.32,26.33,26.17,231.04K,-0.23
5/25/2017,26.38,26.65,26.67,26.27,887.19K,0.08
5/24/2017,26.36,26.62,26.62,26.26,448.74K,-1.2
5/23/2017,26.68,26.6,26.71,26.56,425.55K,1.1
5/19/2017,26.39,26.26,26.45,26.26,729.26K,0.92
5/18/2017,26.15,25.95,26.3,25.87,895.13K,0.5
5/17/2017,26.02,26.32,26.32,25.96,1.10M,-1.7
5/16/2017,26.47,26.7,26.77,26.45,436.21K,-0.53
5/15/2017,26.61,26.41,26.69,26.41,519.12K,0.83
5/12/2017,26.39,26.46,26.52,26.27,425.43K,-0.49
5/11/2017,26.52,26.66,26.75,26.47,687.56K,-1.16
5/10/2017,26.83,26.63,26.85,26.6,235.22K,0.71
5/9/2017,26.64,26.98,26.99,26.61,396.69K,-0.93
5/8/2017,26.89,26.95,27,26.82,209.91K,0.22
5/5/2017,26.83,26.58,26.92,26.54,573.38K,1.36
5/4/2017,26.47,26.65,26.69,26.45,680.98K,-0.45
5/3/2017,26.59,26.61,26.7,26.5,1.13M,-0.11
5/2/2017,26.62,26.78,26.8,26.6,646.42K,-0.71
